target,rule,entry_threshold,total_return,annualized_return,volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,num_trades,win_rate,avg_win,avg_loss,profit_factor,benchmark_return,benchmark_annualized,benchmark_sharpe,benchmark_volatility,benchmark_max_dd,alpha,beta,tracking_error,information_ratio
BTCUSDT_target_logret_4h,Conservative Long,0.02,-0.0841672420501709,-0.13346401074765457,0.07104909672901634,-2.1599713129777216,-0.09332152367579995,-0.0854872465133667,-1.5612154583407511,8,0.25,0.016515033,-0.01856654,0.29650173,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,-4.824406298192723,3.4620854293527294e-05,11.915091009644703,-0.40489882068778105
BTCUSDT_target_logret_4h,Aggressive Long-Short,0.015,-307346.1875,,9.255831510721075,,,-8.89515845970063,,47,0.5957446808510638,0.79116714,-0.34041613,3.4250154,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,,-0.6043372920733817,19.980920529761885,
BTCUSDT_target_logret_4h,Hold to Horizon,0.01,-0.03825092315673828,-0.06156901437429452,0.06341098623762327,-1.2863546084684243,-0.07023110190359023,-0.046716873500456994,-1.3179181259570427,12,0.4166666666666667,0.009919121,-0.010767433,0.6580107,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,-4.7525113018193625,2.7822155698142868e-05,11.915128918168243,-0.39886360730622994
BTCUSDT_target_logret_4h,Quick Scalp,0.005,1737059.25,14676075753.592566,8.11434799003007,1808657426.524565,5546078866.9848585,-0.570921204976302,25705956663.847763,288,0.6284722222222222,0.1410845,-0.01552005,15.377337,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,14676075748.901623,-0.4649163231232048,18.434285977863865,796129330.2341543
BTCUSDT_target_logret_1d,Conservative Long,0.02,-0.7541849464178085,-0.8983492425451309,3.483160462008712,-0.2636540155303457,-0.016010970534043212,-1.937932312488556,-0.46356069133887046,70,0.18571428571428572,0.03164884,-0.09420032,0.07662561,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,-5.5892915299901995,0.0003669077333014076,12.409770532819772,-0.4503944303569802
BTCUSDT_target_logret_1d,Aggressive Long-Short,0.015,-1.5004356503486633,,4.311964398436694,,,-1.8088684678077698,,42,0.21428571428571427,0.03972445,-0.2011679,0.05385522,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,,-0.045591124949841445,13.172400510011212,
BTCUSDT_target_logret_1d,Hold to Horizon,0.01,-3.8529298305511475,,2.3721859064013344,,,-1.8588307746647785,,54,0.7037037037037037,0.04397886,-0.13009581,0.8028681,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,,0.0003977009242171785,12.144485192002163,
BTCUSDT_target_logret_1d,Quick Scalp,0.005,125.79327392578125,2669.5547061003303,12.562710592382723,212.49671290835727,215.45115091692915,-125857822.19201502,2.1210876365137826e-05,16495,0.4455895725977569,0.032493792,-0.024016744,1.0874014,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,2664.8637638128853,0.48632240732939264,12.71659755939664,209.5579223425015
ETHUSDT_target_logret_4h,Conservative Long,0.02,-545826.8125,,20.291229491737734,,,-24.525907516479492,,45,0.08888888888888889,2.6715527,-0.91963595,0.2834157,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,,-0.00022242741656861936,23.532346358078772,
ETHUSDT_target_logret_4h,Aggressive Long-Short,0.015,23527276543.0,7.916513159797462e+16,25.247680286550164,3135540798183631.0,196554156745215.0,-159.66992778495592,495804893859503.3,40,0.475,1.7573086,-2.0306907,0.78295815,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,7.916513159797462e+16,-0.003224561939262207,27.934478734386712,2833957717654639.5
ETHUSDT_target_logret_4h,Hold to Horizon,0.01,-4.530202388763428,,6.65998902167304,,,-4.774602890014648,,41,0.3170731707317073,0.01001397,-0.19571929,0.02375516,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,,-0.0021136279206651278,13.672225966353675,
ETHUSDT_target_logret_4h,Quick Scalp,0.005,31272590114815.0,9.72394575628603e+21,24.34714052488835,3.993875891234921e+20,1.0936057987105967e+20,-190.34692065861032,5.108538516221155e+19,454,0.5330396475770925,0.28622058,-0.06071132,5.3815928,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,9.72394575628603e+21,0.0052686979952429585,27.078800917278354,3.590980924890735e+20
ETHUSDT_target_logret_1d,Conservative Long,0.02,-1316.8609619140625,,13.482789795800198,,,-3.5904704447810816,,76,0.4868421052631579,0.4630047,-0.15792412,2.781468,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,,0.00022728566243360518,17.991533068719498,
ETHUSDT_target_logret_1d,Aggressive Long-Short,0.015,-31103651.0,,19.13839003377221,,,-110.68908552738628,,97,0.41237113402061853,0.8161907,-0.30862182,1.8558807,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,,-0.006567210215004959,22.585765665438913,
ETHUSDT_target_logret_1d,Hold to Horizon,0.01,4.393869400024414,14.577390140964903,0.7300301211399204,19.940807535768485,8.766219834520971,-0.11249289129674026,129.58498953068795,43,0.6511627906976745,0.075213514,-0.015401351,9.115991,1.9073586,4.6909423,0.39201241173601714,11.915291880258087,-9.199911,9.886447853519835,0.0004237057240028537,11.932594642641135,0.8285245706906532
